Date,Username,Rating,Review Text,Cleaned Review Text,Normalized Review Text,tokenize,Stopword Removal,Stemming Data
11/3/2025 8:44,Ruuhul Maani,1,"sering gangguan, banyak bug, sudah pasang stop loss malah gk kejual saham saya.",sering gangguan banyak bug sudah pasang stop loss malah gk kejual saham saya,sering gangguan banyak bug sudah pasang stop loss malah tidak kejual saham saya,"['sering', 'gangguan', 'banyak', 'bug', 'sudah', 'pasang', 'stop', 'loss', 'malah', 'tidak', 'kejual', 'saham', 'saya']","['gangguan', 'bug', 'pasang', 'stop', 'loss', 'kejual', 'saham']",ganggu bug pasang stop loss jual saham
11/3/2025 8:08,Nur Bay,5,min tolong adain fitur trailing stop 🙏,min tolong adain fitur trailing stop ,min tolong mengadakan fitur trailing stop,"['min', 'tolong', 'mengadakan', 'fitur', 'trailing', 'stop']","['min', 'tolong', 'mengadakan', 'fitur', 'trailing', 'stop']",min tolong ada fitur trailing stop
11/3/2025 7:29,Syeikhul Mujib,1,proses deposit & penarikannya terlalu lamaaaa,proses deposit  penarikannya terlalu lamaaaa,proses deposit penarikannya terlalu lamaaaa,"['proses', 'deposit', 'penarikannya', 'terlalu', 'lamaaaa']","['proses', 'deposit', 'penarikannya', 'lamaaaa']",proses deposit tari lamaaaa
11/2/2025 23:15,Ahmad badawi Encep,1,sial banget aku order s&p.. padahal pake market order sekitar jam 21:30 han tapi blum di eksekusi sampe sekarang..... cepetin lagi bang,sial banget aku order sp padahal pake market order sekitar jam  han tapi blum di eksekusi sampe sekarang cepetin lagi bang,sial banget aku order sapa padahal pakai market order sekitar jam han tapi belum di eksekusi sampai sekarang cepetin lagi abang,"['sial', 'banget', 'aku', 'order', 'sapa', 'padahal', 'pakai', 'market', 'order', 'sekitar', 'jam', 'han', 'tapi', 'belum', 'di', 'eksekusi', 'sampai', 'sekarang', 'cepetin', 'lagi', 'abang']","['sial', 'banget', 'order', 'sapa', 'pakai', 'market', 'order', 'jam', 'han', 'eksekusi', 'cepetin', 'abang']",sial banget order sapa pakai market order jam han eksekusi cepetin abang
11/2/2025 23:08,Dendi Hendarmin,3,lama ya verifikasinya padahal udah sy setor 10rb... masuk gak tuh ya,lama ya verifikasinya padahal udah sy setor rb masuk gak tuh ya,lama ya verifikasinya padahal sudah saya setor ribu masuk tidak tuh ya,"['lama', 'ya', 'verifikasinya', 'padahal', 'sudah', 'saya', 'setor', 'ribu', 'masuk', 'tidak', 'tuh', 'ya']","['ya', 'verifikasinya', 'setor', 'ribu', 'masuk', 'tuh', 'ya']",ya verifikasi setor ribu masuk tuh ya
11/2/2025 21:23,ili suhili,1,belum terverifikasi dh nunggu 7 Minggu,belum terverifikasi dh nunggu  minggu,belum terverifikasi dah menunggu minggu,"['belum', 'terverifikasi', 'dah', 'menunggu', 'minggu']","['terverifikasi', 'dah', 'menunggu', 'minggu']",verifikasi dah tunggu minggu
11/2/2025 16:09,Kaka Im,1,maaf banget .awalnya saya mau pake sekutitas ajaib .saat daftar oke oke aja dan login oke. ketika verifikasi akun terhalang di rdn yang harus bca sementara saya bukan pengguna bca. alhasil skip dan pindah ke sekuritas lain yang sat set oke.,maaf banget awalnya saya mau pake sekutitas ajaib saat daftar oke oke aja dan login oke ketika verifikasi akun terhalang di rdn yang harus bca sementara saya bukan pengguna bca alhasil skip dan pindah ke sekuritas lain yang sat set oke,maaf banget awalnya saya mau pakai sekutitas ajaib saat daftar oke oke saja dan login oke ketika verifikasi akun terhalang di rdn yang harus baca sementara saya bukan pengguna baca alhasil skip dan pindah ke sekuritas lain yang sat set oke,"['maaf', 'banget', 'awalnya', 'saya', 'mau', 'pakai', 'sekutitas', 'ajaib', 'saat', 'daftar', 'oke', 'oke', 'saja', 'dan', 'login', 'oke', 'ketika', 'verifikasi', 'akun', 'terhalang', 'di', 'rdn', 'yang', 'harus', 'baca', 'sementara', 'saya', 'bukan', 'pengguna', 'baca', 'alhasil', 'skip', 'dan', 'pindah', 'ke', 'sekuritas', 'lain', 'yang', 'sat', 'set', 'oke']","['maaf', 'banget', 'pakai', 'sekutitas', 'ajaib', 'daftar', 'oke', 'oke', 'login', 'oke', 'verifikasi', 'akun', 'terhalang', 'rdn', 'baca', 'pengguna', 'baca', 'alhasil', 'skip', 'pindah', 'sekuritas', 'sat', 'set', 'oke']",maaf banget pakai sekutitas ajaib daftar oke oke login oke verifikasi akun halang rdn baca guna baca alhasil skip pindah sekuritas sat set oke
11/2/2025 10:56,Wijayanti Dwi,5,"Tampilan ui aplikasi nyaman dipandang,dan banyak sekali fitur²nya kayak nabung reksadana, investasi saham dan yg lain² dan jika ada kendala tidak usah panik hubungi cs yg sangat responsif",tampilan ui aplikasi nyaman dipandangdan banyak sekali fiturnya kayak nabung reksadana investasi saham dan yg lain dan jika ada kendala tidak usah panik hubungi cs yg sangat responsif,tampilan ui aplikasi nyaman dipandangdan banyak sekali fiturnya kayak nabung reksadana investasi saham dan yang lain dan jika ada kendala tidak usah panik hubungi cs yang sangat responsif,"['tampilan', 'ui', 'aplikasi', 'nyaman', 'dipandangdan', 'banyak', 'sekali', 'fiturnya', 'kayak', 'nabung', 'reksadana', 'investasi', 'saham', 'dan', 'yang', 'lain', 'dan', 'jika', 'ada', 'kendala', 'tidak', 'usah', 'panik', 'hubungi', 'cs', 'yang', 'sangat', 'responsif']","['tampilan', 'ui', 'aplikasi', 'nyaman', 'dipandangdan', 'fiturnya', 'kayak', 'nabung', 'reksadana', 'investasi', 'saham', 'kendala', 'panik', 'hubungi', 'cs', 'responsif']",tampil ui aplikasi nyaman dipandangdan fiturnya kayak nabung reksadana investasi saham kendala panik hubung cs responsif
11/2/2025 7:30,Tamora,5,simpel,simpel,simpel,['simpel'],['simpel'],simpel
11/2/2025 2:45,Muhammad Iqbal,3,"saya kurangin bintang nya, karena customer service email nya sangat lama buat balas pesan saya",saya kurangin bintang nya karena customer service email nya sangat lama buat balas pesan saya,saya kurangi bintang ya karena customer service email ya sangat lama buat balas pesan saya,"['saya', 'kurangi', 'bintang', 'ya', 'karena', 'customer', 'service', 'email', 'ya', 'sangat', 'lama', 'buat', 'balas', 'pesan', 'saya']","['kurangi', 'bintang', 'ya', 'customer', 'service', 'email', 'ya', 'balas', 'pesan']",kurang bintang ya customer service email ya balas pesan
11/1/2025 20:24,Meisaheri sandi,4,Cara ganti nomor telepon nya gimana ya,cara ganti nomor telepon nya gimana ya,cara ganti nomor telepon ya bagaimana ya,"['cara', 'ganti', 'nomor', 'telepon', 'ya', 'bagaimana', 'ya']","['ganti', 'nomor', 'telepon', 'ya', 'ya']",ganti nomor telepon ya ya
11/1/2025 16:14,Vitamin C,5,cocok banget buat pemula belajar trading saham. Aplikasinya mudah dipahami,cocok banget buat pemula belajar trading saham aplikasinya mudah dipahami,cocok banget buat pemula belajar trading saham aplikasinya mudah dipahami,"['cocok', 'banget', 'buat', 'pemula', 'belajar', 'trading', 'saham', 'aplikasinya', 'mudah', 'dipahami']","['cocok', 'banget', 'pemula', 'belajar', 'trading', 'saham', 'aplikasinya', 'mudah', 'dipahami']",cocok banget mula ajar trading saham aplikasi mudah paham
11/1/2025 15:30,Togatorop Nurmaya,5,aku suka banget sama fitur lengkap di ajaib saham. di satu aplikask bisa trading saham,aku suka banget sama fitur lengkap di ajaib saham di satu aplikask bisa trading saham,aku suka banget sama fitur lengkap di ajaib saham di satu aplikask bisa trading saham,"['aku', 'suka', 'banget', 'sama', 'fitur', 'lengkap', 'di', 'ajaib', 'saham', 'di', 'satu', 'aplikask', 'bisa', 'trading', 'saham']","['suka', 'banget', 'fitur', 'lengkap', 'ajaib', 'saham', 'aplikask', 'trading', 'saham']",suka banget fitur lengkap ajaib saham aplikask trading saham
11/1/2025 15:27,Kevin Irvan,5,ajaib saham paling nyaman dan mudah dipahami.,ajaib saham paling nyaman dan mudah dipahami,ajaib saham paling nyaman dan mudah dipahami,"['ajaib', 'saham', 'paling', 'nyaman', 'dan', 'mudah', 'dipahami']","['ajaib', 'saham', 'nyaman', 'mudah', 'dipahami']",ajaib saham nyaman mudah paham
11/1/2025 15:16,Septi Wulandari,5,Trading saham di ajaib sangat menguntungkan sekali,trading saham di ajaib sangat menguntungkan sekali,trading saham di ajaib sangat menguntungkan sekali,"['trading', 'saham', 'di', 'ajaib', 'sangat', 'menguntungkan', 'sekali']","['trading', 'saham', 'ajaib', 'menguntungkan']",trading saham ajaib untung
